City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,tchintabaraden,15.8969,5.7985,31.2,34,41,4.71,NE,1683854244
300,saldanha,-33.0117,17.9442,14.1,65,67,11.02,ZA,1683854245
301,shimokizukuri,40.8061,140.3861,16.23,53,37,1.49,JP,1683854245
302,mirnyy,62.5353,113.9611,1.14,82,100,3.93,RU,1683854245
303,midvagur,62.0511,-7.1939,9.46,87,100,0.0,FO,1683854245
304,crucecita,-28.95,-58.9833,11.74,82,0,2.81,AR,1683854245
305,tual,-5.6667,132.75,26.27,86,100,3.65,ID,1683854246
306,heroica ciudad de tlaxiaco,17.2667,-97.6833,16.99,87,100,2.72,MX,1683854246
307,carbonear,47.7332,-53.2148,5.62,63,13,5.95,CA,1683854246
308,puerto piray,-26.4678,-54.7148,12.03,75,7,0.99,AR,1683854246
309,the pas,53.8251,-101.2541,23.01,31,100,2.06,CA,1683854247
310,bodaybo,57.8506,114.1933,2.99,83,49,0.99,RU,1683854247
311,dinguiraye,11.3,-10.7167,29.28,27,94,1.31,GN,1683854247
312,calabozo,8.9242,-67.4293,27.61,58,100,1.88,VE,1683854247
313,puerto quijarro,-17.7833,-57.7667,25.58,67,100,1.31,BO,1683854248
314,dzhangala,49.2167,50.3333,7.6,82,0,4.48,KZ,1683854248
315,faridpur,23.6,89.8333,29.23,65,100,3.24,BD,1683854248
316,louis trichardt,-23.0439,29.9032,15.48,61,0,1.21,ZA,1683854249
317,boende,-0.2167,20.8667,22.55,85,18,0.42,CD,1683854249
318,ascension,30.2169,-90.9001,27.22,97,0,0.0,US,1683854250
319,noumea,-22.2763,166.4572,25.0,99,92,6.29,NC,1683854122
320,kanggye,40.9695,126.5852,18.79,50,100,1.37,KP,1683854250
321,maych'ew,12.7875,39.5422,14.7,69,13,1.11,ET,1683854251
322,kikwit,-5.041,18.8162,22.13,74,17,1.02,CD,1683854251
323,dunedin,-45.8742,170.5036,13.78,70,100,4.47,NZ,1683854251
324,acapulco de juarez,16.8634,-99.8901,28.9,70,75,2.06,MX,1683853973
325,santo antonio do ica,-3.1022,-67.9397,22.54,98,89,0.61,BR,1683854252
326,arno,60.1167,18.6333,7.1,59,71,3.93,SE,1683854252
327,leninskoye,41.7589,69.3864,19.04,44,96,3.12,KZ,1683854252
328,afaahiti,-17.75,-149.2833,27.93,89,100,10.55,PF,1683854253
329,guanare,9.0418,-69.7421,33.01,52,98,0.51,VE,1683854253
330,ciudad lazaro cardenas,17.9583,-102.2,28.07,72,99,4.36,MX,1683854253
331,shilovo,54.3204,40.874,5.85,89,100,3.03,RU,1683854254
332,haysville,37.5645,-97.3523,24.15,74,0,7.72,US,1683854254
333,helensburgh,56.0061,-4.7265,10.91,92,17,0.45,GB,1683854255
334,partizansk,43.1258,133.1339,17.15,41,48,1.98,RU,1683854255
335,pipar,26.3856,73.5378,29.03,19,0,2.9,IN,1683854255
336,mossel bay,-34.1831,22.146,11.96,69,100,6.69,ZA,1683854255
337,sittwe,20.15,92.9,28.51,78,100,4.1,MM,1683854255
338,susanville,40.4163,-120.653,21.48,27,0,2.57,US,1683853964
339,swakopmund,-22.6833,14.5333,14.43,88,100,2.68,NA,1683854256
340,coxim,-18.5067,-54.76,23.76,81,100,1.94,BR,1683854256
341,qaqortoq,60.7167,-46.0333,1.68,88,100,0.95,GL,1683854256
342,lazaro cardenas,17.9583,-102.2,28.07,72,99,4.36,MX,1683854086
343,chubek,37.6137,69.7061,22.04,35,96,1.58,TJ,1683854257
344,lorengau,-2.0226,147.2712,28.87,76,98,2.31,PG,1683854257
345,kolpashevo,58.3131,82.9089,1.02,70,10,5.27,RU,1683854257
346,taro,-8.3862,115.28,24.0,93,95,2.15,ID,1683854096
347,kasempa,-13.4584,25.8338,12.77,57,0,2.31,ZM,1683854258
348,plesetsk,62.708,40.2916,8.52,79,100,2.31,RU,1683854258
349,kimbe,-5.5502,150.1429,31.3,64,60,1.39,PG,1683854258
350,hamilton,39.1834,-84.5333,23.47,66,0,3.6,US,1683854178
351,fort st. john,56.2499,-120.8529,20.98,30,52,2.52,CA,1683854155
352,tres passos,-27.4556,-53.9319,10.87,78,98,1.9,BR,1683854258
353,zhanjiang,21.2815,110.3427,22.8,96,100,3.62,CN,1683854175
354,alesund,62.4723,6.1549,11.53,98,100,0.0,NO,1683854258
355,sergiyev posad,56.3,38.1333,8.56,86,50,2.25,RU,1683854259
356,port lincoln,-34.7333,135.8667,16.22,58,21,4.6,AU,1683854230
357,velyki kopani,46.4868,32.975,7.67,61,0,2.4,UA,1683854259
358,wanxian,30.8039,108.3897,21.13,74,66,0.25,CN,1683854259
359,la sebala du mornag,36.6793,10.292,17.81,82,20,1.54,TN,1683854259
360,hithadhoo,-0.6,73.0833,28.51,75,100,7.19,MV,1683854259
361,baukau,51.5526,7.2042,13.92,95,100,2.24,DE,1683854260
362,nagqu,31.5,92.0,-3.64,53,100,2.45,CN,1683854260
363,siverek,37.755,39.3167,18.56,44,99,3.02,TR,1683854260
364,al jawf,29.5,38.75,24.0,17,0,2.43,SA,1683854260
365,tobarra,38.5921,-1.6919,14.32,89,1,1.03,ES,1683854260
366,madera,37.1666,-119.8343,25.31,44,1,4.05,US,1683853996
367,polyarnyye zori,67.3661,32.4981,4.13,96,100,1.29,RU,1683854260
368,camacupa,-12.0167,17.4833,12.53,57,0,0.75,AO,1683854261
369,fale old settlement,-9.3852,-171.2468,28.74,77,25,6.18,TK,1683854261
370,itoman,26.1247,127.6694,24.43,60,20,5.14,JP,1683854261
371,sarmiento,-45.5882,-69.07,14.29,53,100,8.13,AR,1683854261
372,madang,-5.2246,145.7966,30.98,63,97,0.59,PG,1683854261
373,toamasina,-18.1667,49.3833,22.95,87,47,2.35,MG,1683854261
